Stanowisko; Miejsce pracy; Rodzaj umowy; Pracodawca; Dostępna od; 
"Pracownik biurowy"; "Kutno, powiat: kutnowski, woj: łódzkie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Pomocnik magazyniera"; "Lubajny, powiat: ostródzki, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 28.12.2021; 
"Organizator obsługi sprzedaży internetowej"; "Lublin, powiat: m. Lublin, woj: lubelskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 29.12.2021; 
"Prace magazynowe"; "Lublin, powiat: m. Lublin, woj: lubelskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik fizyczny"; "62-817 Skarszew 92A, powiat: kaliski, woj: wielkopolskie"; "Umowa o pomocy przy zbiorach"; "GOSPODARSTWO OGRODNICZO-ROLNE JANUSZ KUDAŚ"; 29.12.2021; 
"Operator ładowarki"; "GUBIŃSKA 63, 66-600 Krosno Odrzańskie, powiat: krośnieński, woj: lubuskie"; "Umowa o pracę na okres próbny"; "HOMANIT KROSNO ODRZAŃSKIE SP. Z O.O."; 29.12.2021; 
"Konserwator palet"; "GUBIŃSKA 63, 66-600 Krosno Odrzańskie, powiat: krośnieński, woj: lubuskie"; "Umowa o pracę na okres próbny"; "HOMANIT KROSNO ODRZAŃSKIE SP. Z O.O."; 29.12.2021; 
"MŁODSZY SPECJALISTA ELEKTRONIK W DZIALE IT  "; "ENERGETYKÓW 9, 47-225 Kędzierzyn-Koźle, powiat: kędzierzyńsko-kozielski, woj: opolskie"; "Umowa o pracę na okres próbny"; "SIEĆ BADAWCZA ŁUKASIEWICZ - INSTYTUT CIĘŻKIEJ SYNTEZY ORGANICZNEJ ""BLACHOWNIA"""; 29.12.2021; 
"Pracownik obsługi gastronomiczno-hotelowej"; "Krasnystaw, powiat: krasnostawski, woj: lubelskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 20.12.2021; 
"Pomoc sprzedawcy"; "Bytom, powiat: m. Bytom, woj: śląskie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Instruktor nauki jazdy"; "Aleja T. Kościuszki 3, 90-418 Łódź, powiat: m. Łódź, woj: łódzkie"; "Umowa o pracę na okres próbny"; "Girls School Szkoła Nauki Jazdy Dla Kobiet Sławomir Chyliński"; 29.12.2021; 
"Pomocniczy robotnik w przemyśle przetwórczym"; "Zgierz, powiat: zgierski, woj: łódzkie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik przy pracach prostych - pracownik produkcji ( 396 j)"; "Jagodne 14, 05-480 Karczew, powiat: otwocki, woj: mazowieckie"; "Umowa o pracę na czas określony"; """KOLOROWANIE WYROBÓW ALUMINIOWYCH"" TALAREK BARBARA"; 29.12.2021; 
"Ślusarz"; "Sieraków, powiat: międzychodzki, woj: wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "kontakt przez PUP"; 29.12.2021; 
"Technik prac biurowych - staż RPO IV"; "Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; 22.11.2021; 
"Technik prac biurowych - staż RPO IV"; "Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Specjalista"; "Annopol 6, 03-236 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "Sieć Badawcza Łukasiewicz - Instytut Przemysłu Organicznego"; 29.12.2021; 
"Biolog"; "Annopol 6, 03-236 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "Sieć Badawcza Łukasiewicz - Instytut Przemysłu Organicznego"; 29.12.2021; 
"Technik prac biurowych - staż RPO IV"; "Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Samodzielny referent"; "Gocławska 4, 03-810 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę w zastępstwie"; "Pedagogiczna Biblioteka Wojewódzka im. KEN"; 29.12.2021; 
"Technik prac biurowych - staż RPO IV"; "Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Starsza woźna "; "Czerniakowska 128, 00-454 Warszawa, powiat: m.st. Warszawa, woj: mazowieckie"; "Umowa o pracę na czas określony"; "LXXV Liceum Ogólnokształcące im. Jana III Sobieskiego"; 29.12.2021; 
"Malarz budowlany"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; """POS-REMAL"" Świtała Sławomir"; 29.12.2021; 
"Hydraulik"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; """POS-REMAL"" Świtała Sławomir"; 29.12.2021; 
"Elektryk"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; """POS-REMAL"" Świtała Sławomir"; 29.12.2021; 
"Spawacz/ślusarz"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wielobranżowe Sp.z.o.o"; 29.12.2021; 
"Płytkarz"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wielobranżowe Sp.z.o.o"; 29.12.2021; 
"Malarz budowlany"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wielobranżowe Sp.z.o.o"; 29.12.2021; 
"Hydraulik"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wielobranżowe Sp.z.o.o"; 29.12.2021; 
"Elektryk"; "Polna 1, 64-316 Michorzewo, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "Przedsiębiorstwo Wielobranżowe Sp.z.o.o"; 29.12.2021; 
"Pracownik fizyczny"; "64-360 Perzyny 73, powiat: nowotomyski, woj: wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""KICIŃSKI"" MARCIN KICIŃSKI, SZYMON KICIŃSKI SPÓŁKA JAWNA"; 29.12.2021; 
"Operator zautomatyzowanej linii produkcyjnej"; "Wschowa, powiat: wschowski, woj: lubuskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Młodszy kucharz kuchni orientalnej"; "ALEJA JANA PAWŁA II 51, 58-500 Jelenia Góra, powiat: m. Jelenia Góra, woj: dolnośląskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BL&DA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Nauczyciel przedszkola"; "Fryderyka Chopina 4, 58-570 Jelenia Góra, powiat: m. Jelenia Góra, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "Miejskie Przedszkole Nr 11 'Krasnala hałabały""w Jeleniej Górze"; 29.12.2021; 
"Pomocniczy robotnik budowlany"; "Sobieskiego 47, 58-500 Jelenia Góra, powiat: m. Jelenia Góra, woj: dolnośląskie"; "Umowa o pracę na czas nieokreślony"; "WMBUD sp. z o.o."; 29.12.2021; 
"Spawacz"; "Olsztyńska 27, 11-040 Dobre Miasto, powiat: olsztyński, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "ELKAM BIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"sprzataczka/pomoc kuchenna"; "11-034 Gągławki 6, powiat: olsztyński, woj: warmińsko-mazurskie"; "Umowa o pracę na czas nieokreślony"; "BIURO INWESTYCYJNE PROGRES ANNA BIELSKA"; 29.12.2021; 
"Operator koparko-ładowarki"; "Fabryczna 25, 11-040 Dobre Miasto, powiat: olsztyński, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "PHU ""ARMATURA WODNO-KANALIZACYJNA"" KRZYSZTOF NASPIŃSKI"; 29.12.2021; 
"Brukarz"; "Fabryczna 25, 11-040 Dobre Miasto, powiat: olsztyński, woj: warmińsko-mazurskie"; "Umowa o pracę na czas określony"; "PHU ""ARMATURA WODNO-KANALIZACYJNA"" KRZYSZTOF NASPIŃSKI"; 29.12.2021; 
"Montażysta wyposażenia"; "83-425 Dębina 7, powiat: kościerski, woj: pomorskie"; "Umowa o pracę na czas określony"; "ZIELONE WZGÓRZA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"TAPICER"; "Rzemieślnicza 8, 63-604 Baranów, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "P.P.U.H. ""KOTEY"" Sp. z o.o."; 20.12.2021; 
"POMOCNIK TAPICERA"; "Rzemieślnicza 8, 63-604 Baranów, powiat: kępiński, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "P.P.U.H. ""KOTEY"" Sp. z o.o."; 20.12.2021; 
"Pracownik produkcji"; "Przemysłowa 1, 97-505 Blok Dobryszyce, powiat: radomszczański, woj: łódzkie"; "Umowa o pracę na czas określony"; "GI GROUP Sp. z o.o."; 28.12.2021; 
"pomoc kadrowo-księgowa"; "Dobryszyce, powiat: radomszczański, woj: łódzkie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 29.12.2021; 
"Pracownik gospodarczy"; "Przemysłowa 4, 76-231 Damnica, powiat: słupski, woj: pomorskie"; "Umowa o pracę na okres próbny"; "PRZEDSIĘBIORSTWO PRZEMYSŁU DRZEWNEGO ""POLTAREX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 28.12.2021; 
"Porządkowy"; "Poznańska 11, 76-200 Słupsk, powiat: m. Słupsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "HOTEL ""SŁUPSK"" SPÓŁKA CYWILNA"; 29.12.2021; 
"Ślusarz"; "Strumykowa 13, 76-251 Kobylnica, powiat: słupski, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "PPHU ""MOTO-HAK"" S.C. ANDRZEJ KLESZCZ, ARTUR KLESZCZ"; 29.12.2021; 
"Osoba do obsługi wypożyczalni łyżew i lodowiska"; "Darłowska 3B, 76-270 Ustka, powiat: słupski, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "CENTRUM KULTURY GMINY USTKA"; 29.12.2021; 
"Księgowy"; "Słupsk, powiat: m. Słupsk, woj: pomorskie"; "Umowa o pracę na okres próbny"; "kontakt przez PUP"; 29.12.2021; 
"SZWACZKA"; "Golub-Dobrzyń, powiat: golubsko-dobrzyński, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Konserwator "; "Staszica 2, 64-730 Wieleń, powiat: czarnkowsko-trzcianecki, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "Zespół Domów Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Rodziny Maryi"; 29.12.2021; 
"Kucharz"; "Staszica 2, 64-730 Wieleń, powiat: czarnkowsko-trzcianecki, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "Zespół Domów Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Rodziny Maryi"; 29.12.2021; 
"Kierownik kuchni"; "Staszica 2, 64-730 Wieleń, powiat: czarnkowsko-trzcianecki, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "Zespół Domów Pomocy Społecznej prowadzony przez Zgromadzenie Sióstr Franciszkanek Rodziny Maryi"; 29.12.2021; 
"Elektromonter/ pracownik techniczny"; "99-232 Bogucice 28, powiat: poddębicki, woj: łódzkie"; "Umowa o pracę na czas określony"; """ABC MASZTY"" MAREK KLIMCZAK"; 29.12.2021; 
"młodszy konserwator terenów zielonych"; "Ruda Śląska, powiat: m. Ruda Śląska, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Mechanik maszyn i urządzeń przemysłowych"; "JAGIELLOŃSKA 14, 48-300 Nysa, powiat: nyski, woj: opolskie"; "Umowa o pracę na czas określony"; "ZAKŁAD CUKIERNICZY ""WACUŚ"" CZESŁAW WOŹNIAK, TOMASZ WOŹNIAK SPÓŁKA JAWNA"; 29.12.2021; 
"Pracownik produkcji"; "Nysa, powiat: nyski, woj: opolskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Technolog żywności"; "JAGIELLOŃSKA 14, 48-300 Nysa, powiat: nyski, woj: opolskie"; "Umowa o pracę na czas określony"; "ZAKŁAD CUKIERNICZY ""WACUŚ"" CZESŁAW WOŹNIAK, TOMASZ WOŹNIAK SPÓŁKA JAWNA"; 29.12.2021; 
"Kelner/Kelnerka"; "JARNOŁTÓWEK 204, 48-267 Jarnołtówek, powiat: nyski, woj: opolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "DOMS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Kucharz/pomoc kuchenna"; "JARNOŁTÓWEK 204, 48-267 Jarnołtówek, powiat: nyski, woj: opolskie"; "Umowa o pracę na czas określony"; "DOMS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Pracownik magazynowy"; "05-870 Kopytów 44d, powiat: warszawski zachodni, woj: mazowieckie"; "Umowa o pracę na czas określony"; "JAGA TEMP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 28.12.2021; 
"Robotnik budowlany"; "Sokółka, powiat: sokólski, woj: podlaskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 21.12.2021; 
"Robotnik budowlany"; "Dąbrowa Białostocka, powiat: sokólski, woj: podlaskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 21.12.2021; 
"Operator procesu technologicznego"; "Oława, powiat: oławski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Robotnik budowlany"; "Bagny, powiat: sokólski, woj: podlaskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 21.12.2021; 
"monter"; "Godzikowice, powiat: oławski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"sprzedawca-stoisko mięsne"; "Lubelska 6, 27-600 Sandomierz, powiat: sandomierski, woj: świętokrzyskie"; "Umowa o pracę na okres próbny"; "Firma Handlowo-Usługowa ""MAJK"" s.c. Adam Śledź, Krzysztof Śledź"; 29.12.2021; 
"Sprzedawca "; "ORKANA 1, 36-020 Tyczyn, powiat: rzeszowski, woj: podkarpackie"; "Umowa o pracę na okres próbny"; "MARMAX JURZYSTA SPÓŁKA JAWNA"; 29.12.2021; 
"Robotnik magazynowy"; "Kałuszyn, powiat: miński, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 28.12.2021; 
"SPRZEDAWCA"; "Mińsk Mazowiecki, powiat: miński, woj: mazowieckie"; "Umowa zlecenie / Umowa o świadczenie usług"; "kontakt przez PUP"; 29.12.2021; 
"Lakiernik samochodowy"; "Graniczna 35, 05-300 Brzóze, powiat: miński, woj: mazowieckie"; "Umowa o pracę na czas nieokreślony"; "P.P.H. DIGICROS Dariusz Gryz"; 29.12.2021; 
"technolog spawalnictwa konstrukcji stalowych i aluminiowych"; "Graniczna 35, 05-300 Brzóze, powiat: miński, woj: mazowieckie"; "Umowa o pracę na czas nieokreślony"; "P.P.H. DIGICROS Dariusz Gryz"; 29.12.2021; 
"pracownik fizyczny"; "Dźwigowa 7, 05-300 Mińsk Mazowiecki, powiat: miński, woj: mazowieckie"; "Umowa o pracę na okres próbny"; """TRANS - MET"" CHODKIEWICZ, LIPIŃSKI SPÓŁKA JAWNA"; 29.12.2021; 
"Opiekunka dziecięca"; "Stołeczna 119, 05-074 Józefin, powiat: miński, woj: mazowieckie"; "Umowa o pracę na okres próbny"; "Gminny Żłobek Kraina Smyka Józefin"; 29.12.2021; 
"pracownik ogólnobudowlany"; "Strumykowa 30, 63-400 Ostrów Wielkopolski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "DOMAR BUDOWNICTWO ARCHITEKTURA SP. Z O.O. SP. KOMANDYTOWA"; 29.12.2021; 
"Stanowisko ds. obsługi pacjentów"; "Wrocławska 25A, 63-400 Ostrów Wielkopolski, powiat: ostrowski, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Niepubliczny Zakład Opieki Zdrowotnej Laboratorium s.c."; 29.12.2021; 
"RWACZKA PIECZAREK"; "Strzelecka 54, 63-430 Odolanów, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas nieokreślony"; "MAREK NAMYSŁ"; 29.12.2021; 
"Monter konstrukcji stalowych"; "POLNA 2, 63-410 Karski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "INSSTAL KONSTRUKCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Spawacz"; "POLNA 2, 63-410 Karski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "INSSTAL KONSTRUKCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Ślusarz*"; "POLNA 2, 63-410 Karski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "INSSTAL KONSTRUKCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Monter konstrukcji"; "Polna 2, 63-410 Karski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "INSSTAL ADRIAN SÓJKA"; 29.12.2021; 
"pracownik ogólnobudowlany"; "POLNA 2, 63-410 Karski, powiat: ostrowski, woj: wielkopolskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "INSSTAL KONSTRUKCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"operator piaskarki"; "POLNA 2, 63-410 Karski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "INSSTAL KONSTRUKCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"pomocnik malarza przemysłowego"; "POLNA 2, 63-410 Karski, powiat: ostrowski, woj: wielkopolskie"; "Umowa o pracę na okres próbny"; "INSSTAL KONSTRUKCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Pracownik socjalny w Ośrodku Pomocy Społecznej"; "Szpitalna 1, 57-330 Szczytna, powiat: kłodzki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "OŚRODEK POMOCY SPOŁECZNEJ W SZCZYTNEJ"; 28.12.2021; 
"RECEPCJONISTA"; "1 Maja 25A, 57-350 Kudowa-Zdrój, powiat: kłodzki, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "GRUPA ŁAPAJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SP.J."; 28.12.2021; 
"Pracownik serwisu"; "Tychy, powiat: m. Tychy, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"PRACOWNIK OGÓLNOBUDOWLANY"; "Mikołów, powiat: mikołowski, woj: śląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Pomocnik stolarza"; "Komunalna 8, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "4IQ GROUP SP Z O.O."; 29.12.2021; 
"Pedagog"; "Andersa 3A, 14-200 Iława, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Powiatowe Centrum Pomocy Rodzinie w Iławie"; 29.12.2021; 
"Psycholog w Domu dla Dzieci w Kisielicach"; "Szkolna 4, 14-220 Kisielice, powiat: iławski, woj: warmińsko-mazurskie"; "Umowa o pracę na okres próbny"; "Powiatowe Centrum Pomocy Rodzinie w Iławie"; 29.12.2021; 
"Pomoc księgowej ( prace interwencyjne uzupełnienie zatrudnienia)"; "Boguszów-Gorce, powiat: wałbrzyski, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 27.05.2021; 
"Sprzedawca (Doposażenie stanowiska pracy RPO 2020) "; "Wałbrzych, powiat: m. Wałbrzych, woj: dolnośląskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Monter instalacji centralnego ogrzewania 289"; "96-300 Żyrardów, powiat: żyrardowski, woj: mazowieckie"; "Umowa o pracę na czas nieokreślony"; "PHU TERMIKA Andrzej Kucharski"; 29.12.2021; 
"Elektryk/monter klimatyzacji "; "Damrota 4, 47-303 Krapkowice, powiat: krapkowicki, woj: opolskie"; "Umowa o pracę na czas określony"; "Rajmund Roskosz ART-DOM"; 29.12.2021; 
"Pomocnik montera klimatyzacji "; "Damrota 4, 47-303 Krapkowice, powiat: krapkowicki, woj: opolskie"; "Umowa o pracę na czas określony"; "Rajmund Roskosz ART-DOM"; 29.12.2021; 
"Konserwator w szkole"; "B. Chrobrego 36, 47-330 Zdzieszowice, powiat: krapkowicki, woj: opolskie"; "Umowa o pracę na czas określony"; "PUBLICZNA SZKOŁA PODSTAWOWA NR 1 W ZDZIESZOWICACH"; 29.12.2021; 
"Podinspektor w Wydziale Ochrony Środowiska - oferta konkursowa"; "Sienkiewicza Henryka 2, 42-600 Tarnowskie Góry, powiat: tarnogórski, woj: śląskie"; "Umowa o pracę na czas określony"; "Urząd Miejski w Tarnowskich Górach"; 29.12.2021; 
"Specjalista do spraw jakości"; "Sokołowska 3, 36-130 Raniżów, powiat: kolbuszowski, woj: podkarpackie"; "Umowa o pracę na okres próbny"; """KONSTRUKCJE STALOWE SŁUJA "" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Robotnik gospodarczy"; "Sokołowska 3, 36-130 Raniżów, powiat: kolbuszowski, woj: podkarpackie"; "Umowa o pracę na czas określony"; """KONSTRUKCJE STALOWE SŁUJA "" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Robotnik gospodarczy"; "Krastudy 2, 82-433 Mikołajki Pomorskie, powiat: sztumski, woj: pomorskie"; "Umowa o pracę na okres próbny"; "RYSZARDA TURO ""INNY ŚWIAT - KRAINA PRZYRODY I PRZYGODY"""; 29.12.2021; 
"Pomoc administracyjna- Prace interwencyjne FP"; "Szprotawa, powiat: żagański, woj: lubuskie"; "Umowa o pracę na czas określony"; "kontakt przez PUP"; 29.12.2021; 
"Opiekun osoby starszej"; "Siewna 5a, 81-574 Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "Iwona Kowalczyk-Łojko Goplany Apartments"; 29.12.2021; 
"Sztauer/Pracownik portowy"; "81-156 Gdynia 5, powiat: m. Gdynia, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "BAILEY INDUSTRIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"pracownik gospodarki materiałowej"; "Handlowa 19, 81-061 Gdynia, powiat: m. Gdynia, woj: pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Energomontaż-Północ Gdynia S.A."; 29.12.2021; 
"Kasjer-sprzedawca"; "Szkolna 27c, 87-721 Raciążek, powiat: aleksandrowski, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; """DINO POLSKA"" SPÓŁKA AKCYJNA"; 29.12.2021; 
"operator forwardera"; "77-300 Jaromierz 27, powiat: człuchowski, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "DREW-PIL USŁUGI LEŚNE KRZYSZTOF OGŁUSZKA"; 29.12.2021; 
"murarz"; "Zamkowa 1, 77-300 Człuchów, powiat: człuchowski, woj: pomorskie"; "Umowa o pracę na czas określony"; "INWESTYCJE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"; 29.12.2021; 
"Pracownik biurowy"; "Aleksandrów Kujawski, powiat: aleksandrowski, woj: kujawsko-pomorskie"; "Nie dotyczy"; "kontakt przez PUP"; 29.12.2021; 
"Operator rębaka samojezdnego"; "77-300 Jaromierz 27, powiat: człuchowski, woj: pomorskie"; "Umowa o pracę na czas nieokreślony"; "DREW-PIL USŁUGI LEŚNE KRZYSZTOF OGŁUSZKA"; 29.12.2021; 
"pracownik gospodarczy"; "62-510 Konin, powiat: m. Konin, woj: wielkopolskie"; "Umowa o pracę na czas określony"; "PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""Dafmar"" DAWID MARCINKOWSKI"; 28.12.2021; 
"Formierz wyrobów z kompozytów polimerowych (nr 5711)"; "Jana III Sobieskiego 1 lok. 118, 85-060 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa zlecenie / Umowa o świadczenie usług"; "Agencja Pracy „Baltyka” Ruslan Yatsenko"; 29.12.2021; 
"Magazynier (nr 5712)"; "Objazdowa 2, 85-882 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "FABRYKA WYROBÓW CUKIERNICZYCH "" JAGO "" JAN GOGOLEWSKI"; 29.12.2021; 
"Operator smarowaczki (nr 5713)"; "Objazdowa 2, 85-882 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "FABRYKA WYROBÓW CUKIERNICZYCH "" JAGO "" JAN GOGOLEWSKI"; 29.12.2021; 
"Operator pieca (nr 5714)"; "Objazdowa 2, 85-882 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "FABRYKA WYROBÓW CUKIERNICZYCH "" JAGO "" JAN GOGOLEWSKI"; 29.12.2021; 
"Operator linii do czekolady (nr 5715)"; "Objazdowa 2, 85-882 Bydgoszcz, powiat: m. Bydgoszcz, woj: kujawsko-pomorskie"; "Umowa o pracę na okres próbny"; "FABRYKA WYROBÓW CUKIERNICZYCH "" JAGO "" JAN GOGOLEWSKI"; 29.12.2021; 
